id,ref_id,name,version,last_change,f_category,description,flow_type,infrastructure_flow,cas_number,formula,f_reference_flow_property,f_location,synonyms
609,45462615-a26a-6bab-600c-d165aad2ac5c,CUTOFF equ. retirement; loaders/backhoes; 100-175HP,0,0,62,,PRODUCT_FLOW,0,,,320,,
611,b2b5cb68-5e55-3a50-82bf-4c01f97e0b72,"work; loaders/backhoes for oats harvest, 2014 fleet, all fuels; 100-175HP",0,0,51,,PRODUCT_FLOW,0,,,350,,
613,a4c12ec4-7dc0-afcb-a7c8-2969d6b6b447,CUTOFF equ. retirement; sprayers; 100-175HP,0,0,62,,PRODUCT_FLOW,0,,,320,,
615,fdf46dfe-15b5-30ed-b9cc-bb9e85d0de7f,"work; sprayers for cotton harvest, 2014 fleet, all fuels; 100-175HP",0,0,51,,PRODUCT_FLOW,0,,,350,,
617,b8b98c6d-274c-7aba-0826-3adfbd785a5f,CUTOFF spare part set; sprayers; 100-175HP,0,0,51,,PRODUCT_FLOW,0,,,320,,
619,5d7eeab1-467f-cc25-6c65-181e1d31ed28,CUTOFF production; sprayers; 100-175HP,0,0,51,,PRODUCT_FLOW,0,,,320,,
621,b2c58f3e-24c1-3ad8-9518-aacebcf3bde5,"work; pumps for corn harvest, 2014 fleet, all fuels; 300-600HP",0,0,51,,PRODUCT_FLOW,0,,,350,,
623,247bc7f5-fbb4-54ac-d5cb-34cbe34395e7,CUTOFF production; swathers; 75-100HP,0,0,51,,PRODUCT_FLOW,0,,,320,,
625,58435f49-20db-422b-7582-0361d3c7c743,CUTOFF equ. retirement; swathers; 75-100HP,0,0,62,,PRODUCT_FLOW,0,,,320,,
627,afa8bdcb-eef5-363c-b1e0-60021fe750c3,"work; swathers for win wheat harvest, 2014 fleet, all fuels; 75-100HP",0,0,51,,PRODUCT_FLOW,0,,,350,,
629,24e242f8-fe7c-c031-16de-9374f3ccf674,CUTOFF spare part set; swathers; 75-100HP,0,0,51,,PRODUCT_FLOW,0,,,320,,
631,a4c3522a-001a-30b3-a073-aa09cded2b5d,"work; other ag. equip. for rice harvest, 2014 fleet, all fuels; 300-600HP",0,0,51,,PRODUCT_FLOW,0,,,350,,
633,62b6e825-cc90-66ee-e213-081fd247b94c,CUTOFF equ. retirement; other ag. equip.; 300-600HP,0,0,62,,PRODUCT_FLOW,0,,,320,,
635,566bcf1c-30f6-c874-0213-ccdb773eb8a7,CUTOFF production; other ag. equip.; 300-600HP,0,0,51,,PRODUCT_FLOW,0,,,320,,
637,8517167c-a486-b358-593c-28834df8f305,CUTOFF spare part set; other ag. equip.; 300-600HP,0,0,51,,PRODUCT_FLOW,0,,,320,,
639,bcf11297-98cf-38c6-a070-7237adc2f7f9,"work; other ag. equip. for cotton harvest, 2014 fleet, all fuels; 300-600HP",0,0,51,,PRODUCT_FLOW,0,,,350,,
641,db9ef1ed-7531-367a-8fc1-15d2848b8598,"work; swathers for corn harvest, 2014 fleet, all fuels; 100-175HP",0,0,51,,PRODUCT_FLOW,0,,,350,,
643,24947f44-8808-3e89-b52b-de108a8cdf68,"work; other ag. equip. for win wheat harvest, 2014 fleet, all fuels; 300-600HP",0,0,51,,PRODUCT_FLOW,0,,,350,,
